[2026-01-12T08:14:47.717Z] GET /student/attendance 304 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:07.744Z] POST /attendance/check-in 201 (5383ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:15.171Z] GET /student/profile 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:15.952Z] GET /enrollment/my-classes 200 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:16.427Z] GET /student/attendance 200 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:23.224Z] POST /attendance/check-in 400 (5428ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:31.791Z] GET /student/profile 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:32.129Z] GET /enrollment/my-classes 200 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:32.475Z] GET /student/attendance 200 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:46.006Z] POST /attendance/check-in 201 (2644ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:50.632Z] GET /student/profile 304 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:51.216Z] GET /enrollment/my-classes 304 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:51.805Z] GET /student/attendance 200 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:15:59.722Z] GET /student/profile 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:00.533Z] GET /training-classes/available 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:00.534Z] GET /enrollment/my-requests 200 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:00.703Z] GET /student/profile 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:01.036Z] GET /enrollment/my-classes 200 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:01.352Z] GET /student/attendance 200 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:06.771Z] GET /training-classes/available 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:06.772Z] GET /enrollment/my-requests 200 (7ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:07.019Z] GET /student/profile 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:08.933Z] POST /auth/logout 200 (7ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:09.457Z] GET /enrollment/my-classes 304 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:11.086Z] GET /student/profile 304 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:11.299Z] GET /enrollment/my-classes 304 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:11.707Z] GET /student/attendance 304 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:15.142Z] POST /auth/login 200 (79ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:19.614Z] GET /training-classes 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:20.154Z] GET /admin/sessions?date=2026-01-12&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:24.105Z] GET /training-classes 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:24.263Z] GET /admin/attendance?date=2026-01-12 200 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:24.277Z] GET /admin/sessions?date=2026-01-12&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:24.612Z] GET /admin/attendance?date=2026-01-12&sessionId=d4f977c4-0592-4fec-8705-a30cfe79754a&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:28.970Z] GET /admin/sessions?date=2026-01-12&classId=f1e537c7-caf4-445a-8bff-dd80caa96256 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:29.508Z] GET /admin/attendance?date=2026-01-12&sessionId=ff052ab3-5f4f-4e93-983e-cea0fd2bba2b&classId=f1e537c7-caf4-445a-8bff-dd80caa96256 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:31.815Z] GET /auth/me 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:31.824Z] GET /admin/attendance?date=2026-01-12 200 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:16:31.831Z] GET /training-classes 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
